name,parent,LABEL,DESCRIPTION,LEAD,PARTICIPANTS,LINE,TYPE,ICON,LINK,WIDTH,HEIGHT,LINK_TYPE,LEN,POSITION2,POSITION1
1.1.04.02.03.00.00.00,1.1.04.02.00.00.00.00,"""Operations & Maintenance (O&M): MOA, TA TS, CA, NDA""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Document Preparation,,javascript:void(0),385,15,none,53,15,-401
1.1.04.03.00.00.00.00,1.1.04.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.04.04.00.00.00.00,1.1.04.00.00.00.00.00,Assessment of resources required to execute the project,N/A; ,3-Business Development; ,1-Leadership; 4-Commercial; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Process,,javascript:void(0),400,15,none,55,15,-416
1.1.04.05.00.00.00.00,1.1.04.00.00.00.00.00,"""Document Validation - DB, DE""",N/A; ,4-Commercial; ,5-Legal; ,lightblue,Document Preparation,,javascript:void(0),218,15,none,30,15,-230
1.1.05.00.00.00.00.00,1.1.00.00.00.00.00.00,Legal,N/A; ,5-Legal; ,N/A; ,lightblue,Division,,javascript:void(0),36,15,none,5,15,-44
1.1.05.01.00.00.00.00,1.1.05.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.05.02.00.00.00.00,1.1.05.00.00.00.00.00,"""Document Preparation - DB, DE, O&M""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Header,,javascript:void(0),262,15,none,36,15,-275
1.1.05.02.01.00.00.00,1.1.05.02.00.00.00.00,"""Design-Build (DB): MOA, TA,TS,CA(DE & Subs), EA (DE & Subs)""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Document Preparation,,javascript:void(0),443,15,none,61,15,-461
1.1.05.02.02.00.00.00,1.1.05.02.00.00.00.00,"""Design Engineer (DE): MOA, TA TS, CA Subconsultants (SC), EA SC""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Document Preparation,,javascript:void(0),473,15,none,65,15,-491
1.1.05.02.03.00.00.00,1.1.05.02.00.00.00.00,"""Operations & Maintenance (O&M): MOA, TA TS, CA, NDA""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Document Preparation,,javascript:void(0),385,15,none,53,15,-401
1.1.05.03.00.00.00.00,1.1.05.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.05.04.00.00.00.00,1.1.05.00.00.00.00.00,Joint Venture Best Practice SOP,N/A; ,5-Legal; ,6-Pre-Construction / Bid Team; ,lightblue,Document Preparation,,javascript:void(0),225,15,none,31,15,-237
1.1.05.05.00.00.00.00,1.1.05.00.00.00.00.00,JV/Consortium Partners Proposal,N/A; ,5-Legal; ,6-Pre-Construction / Bid Team; ,lightblue,Action/Decision,,javascript:void(0),225,15,none,31,15,-237
1.1.05.06.00.00.00.00,1.1.05.00.00.00.00.00,DB/DE Formation,N/A; ,5-Legal; ,4-Commercial; ,lightblue,Document Preparation,,javascript:void(0),109,15,none,15,15,-118
1.1.06.00.00.00.00.00,1.1.00.00.00.00.00.00,Pre-Construction,N/A; ,6-Pre-Construction / Bid Team; ,N/A; ,lightblue,Division,,javascript:void(0),116,15,none,16,15,-126
1.1.06.01.00.00.00.00,1.1.06.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.06.02.00.00.00.00,1.1.06.00.00.00.00.00,Identify & Propose JV/Consortium Partners,N/A; ,6-Pre-Construction / Bid Team; ,5-Legal; 17-Construction & Project Management; ,lightblue,Action/Decision,,javascript:void(0),298,15,none,41,15,-312
1.1.06.03.00.00.00.00,1.1.06.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.06.04.00.00.00.00,1.1.06.00.00.00.00.00,Prepare Pre-Qualification Documentation,N/A; ,6-Pre-Construction / Bid Team; ,13-Quality; ,lightblue,Document Preparation,,javascript:void(0),284,15,none,39,15,-297
1.1.06.05.00.00.00.00,1.1.06.00.00.00.00.00,Pre-Qualification Documents Submission,N/A; ,6-Pre-Construction / Bid Team; ,N/A; ,lightblue,Action/Decision,,javascript:void(0),276,15,none,38,15,-290
1.1.06.06.00.00.00.00,1.1.06.00.00.00.00.00,Initiate Business Partner Compliance Approval Process (SOP 1751),N/A; ,6-Pre-Construction / Bid Team; ,N/A; ,lightblue,Process,,http://infozone.snclavalin.com/en/files/1751-en.pdf,465,15,new,64,15,-483
1.1.08.00.00.00.00.00,1.1.00.00.00.00.00.00,Project Controls / Schecule,N/A; ,8-Project Controls; ,N/A; ,lightblue,Division,,javascript:void(0),196,15,none,27,15,-208
1.1.08.01.00.00.00.00,1.1.08.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.08.02.00.00.00.00,1.1.08.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.09.00.00.00.00.00,1.1.00.00.00.00.00.00,Project Management Systems,N/A; ,9-Project Management Systems; ,N/A; ,lightblue,Division,,javascript:void(0),189,15,none,26,15,-200
1.1.09.01.00.00.00.00,1.1.09.00.00.00.00.00,Create DB Sharepoint Site,N/A; ,9-Project Management Systems; ,10-Document Control; ,lightblue,Action/Decision,,javascript:void(0),182,15,none,25,15,-193
1.1.09.02.00.00.00.00,1.1.09.00.00.00.00.00,Create DE Sharepoint Site,N/A; ,9-Project Management Systems; ,10-Document Control; ,lightblue,Action/Decision,,javascript:void(0),182,15,none,25,15,-193
1.1.10.00.00.00.00.00,1.1.00.00.00.00.00.00,Document Control,N/A; ,10-Document Control; ,N/A; ,lightblue,Division,,javascript:void(0),116,15,none,16,15,-126
1.1.10.01.00.00.00.00,1.1.10.00.00.00.00.00,"""Document Control Management, Coding and Processes""",N/A; ,10-Document Control; ,9-Project Management Systems; ,lightblue,Process,,javascript:void(0),371,15,none,51,15,-386
1.1.11.00.00.00.00.00,1.1.00.00.00.00.00.00,Procurement,N/A; ,11-Procurement; ,N/A; ,lightblue,Division,,http://infozone.snclavalin.com/en/files/1554-procurement-en.pdf,80,15,new,11,15,-88
1.1.11.01.00.00.00.00,1.1.11.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.11.02.00.00.00.00,1.1.11.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.12.00.00.00.00.00,1.1.00.00.00.00.00.00,Risk Management,N/A; ,12-Risk Management; ,N/A; ,lightblue,Division,,http://infozone.snclavalin.com/en/files/2225-project-risk-management-en.pdf,109,15,new,15,15,-118
1.1.12.01.00.00.00.00,1.1.12.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.12.02.00.00.00.00,1.1.12.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.13.00.00.00.00.00,1.1.00.00.00.00.00.00,Quality,N/A; ,13-Quality; ,N/A; ,lightblue,Division,,http://infozone.snclavalin.com/en/files/1005-quality-en.pdf,51,15,new,7,15,-59
1.1.13.01.00.00.00.00,1.1.13.00.00.00.00.00,Review pre-qualification documentation,N/A; ,6-Pre-Construction / Bid Team; ,N/A; ,lightblue,Meeting,,javascript:void(0),276,15,none,38,15,-290
1.1.14.00.00.00.00.00,1.1.00.00.00.00.00.00,HR,N/A; ,14-Human Ressources; ,N/A; ,lightblue,Division,,http://infozone.snclavalin.com/en/files/1400-global-hr-en.pdf,15,15,new,2,15,-21
1.1.14.01.00.00.00.00,1.1.14.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.14.02.00.00.00.00,1.1.14.00.00.00.00.00,Assessment of resources required to execute the project,N/A; ,3-Business Development; ,1-Leadership; 4-Commercial; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Process,,javascript:void(0),400,15,none,55,15,-416
1.1.17.00.00.00.00.00,1.1.00.00.00.00.00.00,Construction & Project Management,N/A; ,17-Construction & Project Management; ,N/A; ,lightblue,Division,,http://infozone.snclavalin.com/en/files/1550-en.pdf,240,15,new,33,15,-252
1.1.17.01.00.00.00.00,1.1.17.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.17.02.00.00.00.00,1.1.17.00.00.00.00.00,Identify & Propose JV/Consortium Partners,N/A; ,6-Pre-Construction / Bid Team; ,5-Legal; 17-Construction & Project Management; ,lightblue,Action/Decision,,javascript:void(0),298,15,none,41,15,-312
1.1.17.03.00.00.00.00,1.1.17.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.17.04.00.00.00.00,1.1.17.00.00.00.00.00,Assessment of resources required to execute the project,N/A; ,3-Business Development; ,1-Leadership; 4-Commercial; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Process,,javascript:void(0),400,15,none,55,15,-416
1.1.17.05.00.00.00.00,1.1.17.00.00.00.00.00,Initiate Business Partner Compliance Approval Process (SOP 1751),N/A; ,17-Construction & Project Management; ,N/A; ,lightblue,Process,,http://infozone.snclavalin.com/en/files/1751-en.pdf,465,15,new,64,15,-483
1.1.18.00.00.00.00.00,1.1.00.00.00.00.00.00,Finance,N/A; ,19-Finance; ,N/A; ,lightblue,Division,,javascript:void(0),51,15,none,7,15,-59
1.1.18.01.00.00.00.00,1.1.18.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.18.02.00.00.00.00,1.1.18.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.18.03.00.00.00.00,1.1.18.00.00.00.00.00,Review of documents for Finance requirements,N/A; ,19-Finance; ,N/A; ,lightblue,Review,,javascript:void(0),320,15,none,44,15,-334
1.1.18.04.00.00.00.00,1.1.18.00.00.00.00.00,Assessment of resources required to execute the project,N/A; ,3-Business Development; ,1-Leadership; 4-Commercial; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Process,,javascript:void(0),400,15,none,55,15,-416
2.0.00.00.00.00.00.00,0.0.00.00.00.00.00.00,Qualification,Project Agreement Formation Phase 2 - Qualification,N/A; ,All;,lightgray,Phase,,https://spl.snclavalin.com/business/BCPortal/_layouts/15/start.aspx#/,95,15,new,13,15,-103
2.1.00.00.00.00.00.00,2.0.00.00.00.00.00.00,II - RFQ,Capture Planning,N/A; ,N/A; ,lightpink,Section,,javascript:void(0),58,15,none,8,15,-66
2.1.02.00.00.00.00.00,2.1.00.00.00.00.00.00,Capital/Equity,N/A; ,2-Capital / Equity; ,N/A; ,lightpink,Division,,javascript:void(0),102,15,none,14,15,-111
2.1.02.01.00.00.00.00,2.1.02.00.00.00.00.00,Advance Executive Review as per LOA,N/A; ,2-Capital / Equity; ,N/A; ,lightpink,Review,,javascript:void(0),254,15,none,35,15,-267
2.1.02.02.00.00.00.00,2.1.02.00.00.00.00.00,Commence Retaining,N/A; ,2-Capital / Equity; ,N/A; ,lightpink,Process,,javascript:void(0),131,15,none,18,15,-141
2.1.02.03.00.00.00.00,2.1.02.00.00.00.00.00,Identify and confirm lending requirements,N/A; ,2-Capital / Equity; ,N/A; ,lightpink,Action/Decision,,javascript:void(0),298,15,none,41,15,-312
2.1.02.04.00.00.00.00,2.1.02.00.00.00.00.00,Identify Key Underwriters (Lenders),N/A; ,2-Capital / Equity; ,N/A; ,lightpink,Action/Decision,,javascript:void(0),254,15,none,35,15,-267
2.1.02.05.00.00.00.00,2.1.02.00.00.00.00.00,Ensure advisors are fully engaged pre-RFQ,N/A; ,2-Capital / Equity; ,N/A; ,lightpink,Process,,javascript:void(0),298,15,none,41,15,-312
2.1.02.06.00.00.00.00,2.1.02.00.00.00.00.00,RFQ Submission,N/A; ,N/A; ,All;,red,Milestone,,javascript:void(0),102,15,none,14,15,-111
2.1.04.00.00.00.00.00,2.1.00.00.00.00.00.00,Commercial,N/A; ,4-Commercial; ,N/A; ,lightpink,Division,,javascript:void(0),73,15,none,10,15,-81
2.1.04.01.00.00.00.00,2.1.04.00.00.00.00.00,RFQ Review,N/A; ,6-Pre-Construction / Bid Team; ,4-Commercial; 8-Project Controls; 11-Procurement; 12-Risk Management; 13-Quality; 16-Engineering; 17-Construction & Project Management; 18-Operations & Maintenance; 19-Finance; ,lightpink,Header,,javascript:void(0),73,15,none,10,15,-81
2.1.04.01.01.00.00.00,2.1.04.01.00.00.00.00,Commercial Strategy,N/A; ,6-Pre-Construction / Bid Team; ,4-Commercial; 8-Project Controls; 11-Procurement; 12-Risk Management; 13-Quality; 16-Engineering; 17-Construction & Project Management; 18-Operations & Maintenance; 19-Finance; ,lightpink,Review,,javascript:void(0),138,15,none,19,15,-148
2.1.04.01.02.00.00.00,2.1.04.01.00.00.00.00,Contractual Strategy,N/A; ,6-Pre-Construction / Bid Team; ,4-Commercial; 8-Project Controls; 11-Procurement; 12-Risk Management; 13-Quality; 16-Engineering; 17-Construction & Project Management; 18-Operations & Maintenance; 19-Finance; ,lightpink,Review,,javascript:void(0),145,15,none,20,15,-155
2.1.04.01.03.00.00.00,2.1.04.01.00.00.00.00,Forms of Agreements,N/A; ,6-Pre-Construction / Bid Team; ,4-Commercial; 8-Project Controls; 11-Procurement; 12-Risk Management; 13-Quality; 16-Engineering; 17-Construction & Project Management; 18-Operations & Maintenance; 19-Finance; ,lightpink,Review,,javascript:void(0),138,15,none,19,15,-148
2.1.04.01.04.00.00.00,2.1.04.01.00.00.00.00,T&C's,N/A; ,6-Pre-Construction / Bid Team; ,4-Commercial; 8-Project Controls; 11-Procurement; 12-Risk Management; 13-Quality; 16-Engineering; 17-Construction & Project Management; 18-Operations & Maintenance; 19-Finance; ,lightpink,Review,,javascript:void(0),36,15,none,5,15,-44
2.1.04.01.05.00.00.00,2.1.04.01.00.00.00.00,Budget & OH&P Strategy,N/A; ,6-Pre-Construction / Bid Team; ,4-Commercial; 8-Project Controls; 11-Procurement; 12-Risk Management; 13-Quality; 16-Engineering; 17-Construction & Project Management; 18-Operations & Maintenance; 19-Finance; ,lightpink,Review,,javascript:void(0),160,15,none,22,15,-170
2.1.04.01.06.00.00.00,2.1.04.01.00.00.00.00,Business Partner Strategy,N/A; ,6-Pre-Construction / Bid Team; ,4-Commercial; 8-Project Controls; 11-Procurement; 12-Risk Management; 13-Quality; 16-Engineering; 17-Construction & Project Management; 18-Operations & Maintenance; 19-Finance; ,lightpink,Review,,javascript:void(0),182,15,none,25,15,-193
2.1.04.02.00.00.00.00,2.1.04.00.00.00.00.00,"""Document Preparation - DB, DE, O&M """,N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Header,,javascript:void(0),269,15,none,37,15,-282
2.1.04.02.01.00.00.00,2.1.04.02.00.00.00.00,"""DB: TA, JVA TS, PSA, SA TS, CA & EA""",N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Document Preparation,,javascript:void(0),269,15,none,37,15,-282
2.1.04.02.02.00.00.00,2.1.04.02.00.00.00.00,"""DE: TA, JVA TS, SC PSA, SC SA TS, CA & EA""",N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Document Preparation,,javascript:void(0),313,15,none,43,15,-327
2.1.04.02.03.00.00.00,2.1.04.02.00.00.00.00,"""O&M: TA, Negociation, JVA TS""",N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Document Preparation,,javascript:void(0),218,15,none,30,15,-230
2.1.04.03.00.00.00.00,2.1.04.00.00.00.00.00,DB/DE Finalization,N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Action/Decision,,javascript:void(0),131,15,none,18,15,-141
2.1.04.04.00.00.00.00,2.1.04.00.00.00.00.00,RFQ Submission,N/A; ,N/A; ,All;,red,Milestone,,javascript:void(0),102,15,none,14,15,-111
2.1.05.00.00.00.00.00,2.1.00.00.00.00.00.00,Legal,N/A; ,5-Legal; ,N/A; ,lightpink,Division,,javascript:void(0),36,15,none,5,15,-44
2.1.05.01.00.00.00.00,2.1.05.00.00.00.00.00,Execute Joint Venture Agreement Term Sheet,N/A; ,5-Legal; 6-Pre-Construction / Bid Team; ,N/A; ,lightpink,Action/Decision,,javascript:void(0),305,15,none,42,15,-319
2.1.05.02.00.00.00.00,2.1.05.00.00.00.00.00,"""Document Preparation - DB, DE, O&M """,N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Header,,javascript:void(0),269,15,none,37,15,-282
2.1.05.02.01.00.00.00,2.1.05.02.00.00.00.00,"""DB: TA, JVA TS, PSA, SA TS, CA & EA""",N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Document Preparation,,javascript:void(0),269,15,none,37,15,-282
2.1.05.02.02.00.00.00,2.1.05.02.00.00.00.00,"""DE: TA, JVA TS, SC PSA, SC SA TS, CA & EA""",N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Document Preparation,,javascript:void(0),313,15,none,43,15,-327
2.1.05.02.03.00.00.00,2.1.05.02.00.00.00.00,"""O&M: TA, Negociation, JVA TS""",N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Document Preparation,,javascript:void(0),218,15,none,30,15,-230
2.1.05.03.00.00.00.00,2.1.05.00.00.00.00.00,DB/DE Finalization,N/A; ,4-Commercial; 5-Legal; ,N/A; ,lightpink,Action/Decision,,javascript:void(0),131,15,none,18,15,-141
2.1.05.04.00.00.00.00,2.1.05.00.00.00.00.00,RFQ Submission,N/A; ,N/A; ,All;,red,Milestone,,javascript:void(0),102,15,none,14,15,-111
2.1.06.00.00.00.00.00,2.1.00.00.00.00.00.00,Pre-Construction,N/A; ,6-Pre-Construction / Bid Team; ,N/A; ,lightpink,Division,,javascript:void(0),116,15,none,16,15,-126
